gene_name,ENTREZID
Zm00001d010948,541960
Zm00001d035439,541961
Zm00001d042287,541962
Zm00001d007978,541963
Zm00001d018981,541964
Zm00001d052621,541965
Zm00001d005675,541966
Zm00001d024583,541967
Zm00001d051392,541968
Zm00001d040621,541969
Zm00001d014449,541970
Zm00001d010928,541971
Zm00001d018864,541972
Zm00001d002601,541973
Zm00001d002351,541974
Zm00001d011622,541975
Zm00001d002781,541976
Zm00001d048634,541977
Zm00001d052434,541978
Zm00001d021145,541979
Zm00001d043135,541980
Zm00001d014954,541981
Zm00001d024281,541983
Zm00001d012421,541984
Zm00001d048082,541985
Zm00001d027769,541986
Zm00001d002659,541987
Zm00001d013109,541988
Zm00001d048174,541989
Zm00001d042216,541990
Zm00001d018809,541991
Zm00001d053331,541992
Zm00001d024607,541993
Zm00001d036692,541995
Zm00001d030310,541998
Zm00001d017271,541999
Zm00001d030316,542000
Zm00001d011174,542001
Zm00001d010209,542002
Zm00001d041671,542003
Zm00001d000161,542004
Zm00001d021226,542005
Zm00001d039596,542006
Zm00001d008847,542007
Zm00001d021236,542008
Zm00001d030069,542009
Zm00001d049443,542010
Zm00001d028373,542012
Zm00001d015381,542013
Zm00001d051872,542014
Zm00001d025580,542015
Zm00001d016928,542016
Zm00001d038688,542017
Zm00001d046444,542018
Zm00001d042618,542019
Zm00001d010232,542020
Zm00001d027896,542021
Zm00001d048180,542022
Zm00001d040163,542023
Zm00001d024617,542025
Zm00001d035445,542026
Zm00001d040702,542029
Zm00001d014175,542030
Zm00001d013259,542032
Zm00001d052180,542033
Zm00001d027957,542034
Zm00001d044899,542035
Zm00001d039434,542037
Zm00001d034047,542038
Zm00001d042591,542039
Zm00001d013258,542040
Zm00001d034045,542041
Zm00001d048474,542042
Zm00001d031620,542043
Zm00001d018142,542044
Zm00001d022088,542045
Zm00001d046555,542046
Zm00001d037133,542047
Zm00001d002006,542048
Zm00001d003291,542049
Zm00001d004889,542051
Zm00001d026490,542052
Zm00001d039386,542053
Zm00001d041710,542055
Zm00001d011890,542056
Zm00001d051681,542057
Zm00001d042490,542058
Zm00001d024386,542059
Zm00001d029768,542061
Zm00001d053065,542062
Zm00001d042578,542063
Zm00001d014874,542064
Zm00001d038205,542065
Zm00001d011329,542067
Zm00001d005546,542072
Zm00001d017727,542073
Zm00001d002436,542074
Zm00001d049608,542075
Zm00001d024698,542076
Zm00001d017399,542077
Zm00001d013238,542079
Zm00001d033379,542080
Zm00001d039181,542081
